Date,Open,High,Low,Close,Adj Close,Volume
2003-09-03,23.340000,23.340000,22.799999,23.070000,14.632681,5271300
2003-09-10,23.080000,23.190001,22.570000,23.090000,14.645370,2282400
2003-09-17,23.000000,23.000000,22.370001,22.600000,14.334572,4400900
2003-09-24,22.670000,22.670000,21.700001,21.830000,13.919063,8540100
2003-10-01,21.959999,22.840000,21.910000,22.719999,14.486537,3697400
2003-10-08,22.809999,23.209999,22.750000,23.209999,14.798967,3894100
2003-10-15,23.320000,23.440001,23.000000,23.200001,14.792591,1818100
2003-10-22,23.049999,23.270000,22.700001,23.230000,14.811724,1036200
2003-10-29,23.150000,24.299999,23.139999,23.920000,15.251674,2724500
2003-11-05,23.900000,24.100000,23.570000,23.590000,15.041265,3945300
2003-11-12,23.700001,24.170000,23.430000,23.570000,15.028507,2012100
2003-11-19,23.570000,24.160000,23.270000,24.110001,15.372810,2061100
2003-11-26,24.299999,25.219999,24.240000,25.150000,16.035925,3511900
2003-12-03,25.270000,25.930000,25.170000,25.680000,16.373859,4186100
2003-12-10,25.680000,26.150000,25.280001,25.820000,16.463139,5065300
2003-12-17,25.629999,26.430000,25.629999,26.370001,16.813816,3344000
2003-12-24,26.200001,27.000000,26.200001,26.740000,17.149920,1834800
2003-12-31,26.799999,27.100000,26.500000,26.860001,17.226881,3942700
2004-01-07,26.850000,27.030001,26.049999,26.160000,16.777929,8348900
2004-01-14,26.290001,26.400000,25.930000,26.160000,16.777929,3327800
2004-01-21,26.080000,26.330000,25.350000,25.580000,16.405945,2985300
2004-01-28,25.549999,25.950001,25.010000,25.250000,16.194296,4772400
2004-02-04,25.180000,26.150000,24.930000,26.070000,16.720207,3775500
2004-02-11,26.080000,26.790001,26.080000,26.700001,17.124269,3123100
2004-02-18,26.740000,27.059999,26.250000,26.660000,17.098610,5558800
2004-02-25,26.600000,27.340000,26.500000,26.940001,17.278196,6160800
2004-03-03,26.900000,27.059999,26.080000,26.230000,16.822834,5669700
2004-03-10,26.150000,26.180000,25.030001,25.299999,16.226362,16925200
2004-03-17,25.309999,25.799999,24.809999,25.090000,16.091682,5800800
2004-03-24,25.110001,26.309999,24.889999,26.260000,16.900808,4948400
2004-03-31,26.200001,26.840000,26.040001,26.799999,17.248344,4426400
2004-04-07,26.639999,26.700001,26.010000,26.059999,16.772081,5779000
2004-04-14,25.799999,26.620001,25.799999,25.940001,16.694859,4740700
2004-04-21,25.799999,26.600000,25.459999,26.270000,16.907238,5774000
2004-04-28,26.030001,26.459999,24.719999,25.240000,16.244341,8778800
2004-05-05,25.290001,25.299999,23.590000,24.270000,15.620049,8256300
2004-05-12,24.250000,24.500000,23.719999,24.309999,15.645801,16979500
2004-05-19,24.600000,25.290001,23.820000,25.290001,16.276514,4226600
2004-05-26,25.290001,25.730000,25.209999,25.559999,16.450275,1575900
2004-06-02,25.590000,25.920000,25.110001,25.900000,16.669115,3009600
2004-06-09,25.879999,26.000000,25.320000,25.620001,16.488907,1745200
2004-06-16,25.719999,26.040001,25.400000,25.950001,16.701294,3375900
2004-06-23,26.030001,26.600000,25.969999,26.590000,17.193382,3290200
2004-06-30,26.540001,26.820000,25.900000,25.940001,16.773075,5773900
2004-07-07,25.930000,26.330000,25.930000,26.230000,16.960588,2513000
2004-07-14,26.160000,26.510000,25.940001,26.180000,16.928263,3683200
2004-07-21,26.240000,26.330000,25.070000,25.650000,16.585566,6699600
2004-07-28,25.530001,26.350000,25.459999,26.070000,16.857134,2611200
2004-08-04,26.000000,26.219999,25.000000,25.660000,16.592031,7629400
2004-08-11,25.570000,26.110001,24.990000,25.969999,16.792475,6514600
2004-08-18,25.950001,26.549999,25.760000,26.299999,17.005856,2823200
2004-08-25,26.299999,26.910000,26.080000,26.610001,17.206310,2145900
2004-09-01,26.549999,27.309999,26.549999,27.270000,17.633076,3017700
2004-09-08,27.200001,27.200001,26.480000,26.730000,17.283911,3369800
2004-09-15,26.650000,26.809999,26.400000,26.639999,17.225710,4322700
2004-09-22,26.650000,27.049999,26.150000,27.030001,17.560005,7902800
2004-09-29,27.100000,27.900000,26.969999,27.719999,18.008257,5513100
2004-10-06,27.700001,28.180000,27.190001,27.350000,17.767895,4781100
2004-10-13,27.230000,27.350000,26.219999,26.219999,17.033787,5618500
2004-10-20,26.250000,26.950001,26.219999,26.940001,17.501535,5670400
2004-10-27,27.020000,27.530001,26.600000,27.190001,17.663954,9367600
2004-11-03,27.270000,28.719999,27.270000,28.670000,18.625431,5490600
2004-11-10,28.700001,29.250000,28.570000,28.830000,18.729370,3031000
2004-11-17,29.190001,29.440001,28.840000,29.139999,18.930765,2937600
2004-11-24,29.150000,29.830000,29.150000,29.510000,19.171125,2469600
2004-12-01,29.559999,29.870001,28.680000,28.690001,18.638420,6818500
2004-12-08,28.580000,29.450001,28.309999,29.379999,19.086679,6299000
2004-12-15,29.450001,29.770000,29.100000,29.740000,19.320549,3336000
2004-12-22,29.760000,29.980000,29.610001,29.920000,19.551641,2193900
2004-12-29,29.990000,29.990000,28.639999,28.900000,18.885109,4196700
2005-01-05,28.629999,29.059999,28.450001,28.570000,18.669464,5666100
2005-01-12,28.620001,29.049999,28.320000,29.030001,18.970057,2461400
2005-01-19,29.020000,29.080000,28.150000,28.299999,18.493025,4903800
2005-01-26,28.400000,29.100000,28.230000,29.059999,18.989658,2933100
2005-02-02,29.090000,29.719999,29.059999,29.510000,19.283722,3835400
2005-02-09,29.480000,30.120001,29.059999,29.969999,19.584312,7710000
2005-02-16,29.940001,30.690001,29.860001,30.120001,19.682337,4913400
2005-02-23,30.280001,31.400000,30.200001,31.129999,20.342325,6685400
2005-03-02,31.049999,32.000000,30.790001,31.549999,20.616787,4611200
2005-03-09,31.700001,31.920000,31.000000,31.250000,20.420748,11180900
2005-03-16,31.000000,31.129999,30.520000,30.549999,19.963320,12556400
2005-03-23,30.530001,30.610001,29.400000,29.410000,19.284441,7216400
2005-03-30,29.510000,30.520000,29.510000,29.950001,19.638521,6860400
